fire_data2,Serial,FireCategory,FireYear,Area,DistrictName,UnitName,FullFireNumber,FireName,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,CauseBy,GeneralCause,SpecificCause,Cause_Comments,Lat_DD,Long_DD,LatLongDD,FO_LandOwnType,Twn,Rng,Sec,Subdiv,LandmarkLocation,County,RegUseZone,RegUseRestriction,Industrial_Restriction,Ign_DateTime,ReportDateTime,Discover_DateTime,Control_DateTime,CreationDate,ModifiedDate,DistrictCode,UnitCode,DistFireNumber
53,117419,STAT,2020,SOA,Southwest Oregon,Grants Pass,20-712818-20,Culver Lane 102,A,0.01,0.01,Human,Ruralist-Paying,Debris Burning,Inadequate Mop Up,Escaped Burn Pile,42.17917,-123.42613,POINT (-123.42613 42.17917),Rural Residential,35S,6W,20.0,NESE,7.12 miles NW of GP,Josephine,SW3,Outside Closed Fire Season,Outside Closed Fire Season,04/29/2020 05:00:00 PM,04/29/2020 05:52:00 PM,04/29/2020 05:52:00 PM,05/03/2020 12:00:00 PM,05/01/2020 12:00:00 AM,05/10/2020 02:04:00 PM,71,712,818
54,118469,STAT,2020,SOA,Douglas - DFPA,DFPA South,20-732069-21,Milepost 92 South,A,0.25,0.25,Human,Other-Public,Miscellaneous,Other - Miscellaneous Related,,42.84142,-123.25445,POINT (-123.25445 42.84142),BLM,31S,5W,26.0,SWSE,Azalea,Douglas,DG2,Reg Use Closure,Lvl 2 Limited Shutdown,07/21/2020 03:00:00 PM,07/22/2020 05:35:00 PM,07/22/2020 05:30:00 PM,07/23/2020 01:00:00 AM,07/25/2020 12:00:00 AM,08/03/2020 04:56:00 PM,73,732,069
55,124436,STAT,2021,NOA,Forest Grove,Forest Grove,21-531064-21,Meadowlake Vineyard Fire,A,0.25,0.25,Human,,Equipment Use,,,45.30525,-123.25253,POINT (-123.25253 45.30525),ERROR: #N/A,3S,5W,24.0,SWSW,Beaver Creek,Yamhill,NW3,,,,06/29/2021 10:04:00 AM,,,06/29/2021 12:00:00 AM,06/29/2021 11:35:00 AM,53,531,064
56,127500,STAT,2021,SOA,Douglas - DFPA,DFPA South,21-732022-22,MP 113,A,0.1,0.1,Human,Other-Public,Recreation,Fireworks,,43.07417,-123.35889,POINT (-123.35889 43.07417),State,29S,6W,1.0,NESW,,Douglas,DG2,Reg Use Closure,Lvl 2 Limited Shutdown,07/05/2021 03:50:00 PM,07/05/2021 04:05:00 PM,07/05/2021 04:00:00 PM,07/05/2021 05:00:00 PM,07/05/2021 12:00:00 AM,08/26/2021 12:57:00 PM,73,732,022
57,125502,STAT,2021,EOA,Klamath-Lake,Klamath,21-981023-22,Old Fort Road 359,A,,0.1,Human,,Miscellaneous,,Structure Fire spread to wildlalnd,42.28722,-121.75278,POINT (-121.75278 42.28722),Rural Residential,38S,9E,3.0,SWSW,Plum Hills,Klamath,KF1,,,,07/28/2021 03:05:00 PM,,,07/28/2021 12:00:00 AM,07/28/2021 05:48:00 PM,98,981,023
58,124234,STAT,2021,EOA,Walker Range - WRFPA,Crescent,21-991254-21,Marsh Creek,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,43.46833,-121.92837,POINT (-121.92837 43.46833),Industrial,24S,7E,30.0,SWNE,South 58,Klamath,WC2,Reg Use Closure,Does Not Apply - Eastern OR,06/22/2021 04:00:00 PM,06/22/2021 04:14:00 PM,06/22/2021 04:05:00 PM,06/22/2021 06:37:00 PM,06/22/2021 12:00:00 AM,10/02/2021 04:06:00 PM,99,991,254
59,131353,STAT,2022,EOA,Northeast Oregon,Baker,22-972012-23,Yankee Sawmill,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,44.92056,-118.11306,POINT (-118.11306 44.92056),Small Woodlands,7S,38E,30.0,SWSW,North Powder River,Baker,NE3,Reg Use Closure,Does Not Apply - Eastern OR,08/20/2022 09:00:00 AM,08/20/2022 04:00:00 PM,08/20/2022 03:45:00 PM,08/21/2022 10:44:00 AM,08/20/2022 12:00:00 AM,08/28/2022 03:25:00 PM,97,972,012
146,131239,STAT,2022,EOA,Walker Range - WRFPA,Crescent,22-991220-23,Hay Fire,A,,0.2,Human,,Miscellaneous,,,43.59358,-121.49422,POINT (-121.49422 43.59358),Other Public,23S,10E,11.0,NWSE,Hwy 31,Klamath,WC2,,,,08/16/2022 06:56:00 PM,,,08/18/2022 12:00:00 AM,08/18/2022 09:11:00 AM,99,991,220
11376,114746,STAT,2019,SOA,Coos - CFPA,Gold Beach,19-723006-20,MM 275 Hwy 101,A,0.01,0.01,Human,Other-Public,Recreation,Fireworks,,43.10417,-124.415,POINT (-124.415 43.10417),State,28S,14W,31.0,SWNE,0.25 S Bandon,Coos,CS1,Reg Use Closure,Lvl 1 Fire Season Only,07/06/2019 04:45:00 PM,07/06/2019 04:56:00 PM,07/06/2019 04:50:00 PM,07/06/2019 05:06:00 PM,07/06/2019 12:00:00 AM,07/25/2019 02:37:00 PM,72,723,006
11380,123251,STAT,2021,SOA,Douglas - DFPA,DFPA Central,21-733424-21,Rice Creek Stump,A,0.01,0.01,Human,Recreationist,Recreation,Rubbish Disposal,Frequent recreationalist burning trash,43.01983,-123.47512,POINT (-123.47512 43.01983),BLM,29S,7W,25.0,NESW,7.36 miles Northwest of Riddle,Douglas,DG1,Outside Closed Fire Season,Outside Closed Fire Season,02/24/2021 10:00:00 AM,02/24/2021 10:30:00 AM,02/24/2021 10:20:00 AM,02/24/2021 01:05:00 PM,02/24/2021 12:00:00 AM,02/26/2021 04:40:00 PM,73,733,424
11383,111096,STAT,2018,SOA,Southwest Oregon,Grants Pass,18-712155-19,Monument Dr 6010,A,0.25,0.25,Human,Other-Landowner Related,Equipment Use,"Cutting, Welding, or Grinding",Fence builder grinding near dry grass/blackberries,42.50627,-123.37774,POINT (-123.37774 42.50627),Rural Residential,35S,6W,23.0,SESW,5.28 miles NW of GP,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/14/2018 11:25:00 AM,07/14/2018 11:30:00 AM,07/14/2018 11:26:00 AM,07/18/2018 08:10:00 AM,07/14/2018 12:00:00 AM,07/31/2018 02:03:00 PM,71,712,155
11385,117269,STAT,2020,EOA,Central Oregon,Sisters,20-955111-20,Deer Ave 025,B,0.8,0.8,Human,Ruralist-Paying,Debris Burning,Failure to Follow Permit Instruction,"No control line around debris pile, burn escaped",43.67065,-121.5566,POINT (-121.5566 43.67065),Rural Residential,22S,10E,17.0,SENW,3 miles west of Lapine,Deschutes,WC2,Outside Closed Fire Season,Does Not Apply - Eastern OR,02/25/2020 02:00:00 PM,02/25/2020 03:01:00 PM,02/25/2020 03:00:00 PM,02/25/2020 05:15:00 PM,02/25/2020 12:00:00 AM,03/10/2020 09:19:00 AM,95,955,111
11387,110909,STAT,2018,EOA,Klamath-Lake,Klamath,18-981005-19,Dump Road 202,B,0.75,0.75,Human,Ruralist-Paying,Debris Burning,Other - Burning Related,,42.06861,-121.40778,POINT (-121.40778 42.06861),Other Private,40S,12E,27.0,SESW,Transformer Road,Klamath,KF1,Reg Use Closure,Does Not Apply - Eastern OR,07/08/2018 12:25:00 PM,07/08/2018 12:25:00 PM,07/08/2018 12:25:00 PM,07/08/2018 02:30:00 PM,07/08/2018 12:00:00 AM,07/19/2018 08:25:00 AM,98,981,005
11389,114347,STAT,2019,SOA,Southwest Oregon,Grants Pass,19-71200046-19,Harris Way 345,A,0.1,0.1,Human,Ruralist-Paying,Debris Burning,Burning During Poor Condition,Escaped Burn Pile,42.51062,-123.39717,POINT (-123.39717 42.51062),Other Private,35S,6W,22.0,NESW,6.06 miles NW of GP,Josephine,SW3,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,06/18/2019 11:00:00 AM,06/18/2019 11:26:00 AM,06/18/2019 11:26:00 AM,06/21/2019 12:27:00 PM,06/18/2019 12:00:00 AM,07/06/2019 03:09:00 PM,71,712,B46
11396,118162,STAT,2020,EOA,Northeast Oregon,Pendleton,20-973004-21,Little Dry Creek,B,1.0,1.0,Lightning,Lightning,Lightning,Lightning,Lighing struck ponderosa,45.80111,-118.3575,POINT (-118.3575 45.80111),Small Woodlands,4N,36E,30.0,NENE,Little Dry Creek,Umatilla,NE1,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,07/07/2020 06:20:00 AM,07/09/2020 04:32:00 PM,07/09/2020 04:30:00 PM,07/10/2020 05:30:00 PM,07/09/2020 12:00:00 AM,07/18/2020 11:33:00 AM,97,973,004
11398,113400,STAT,2018,SOA,Southwest Oregon,Medford,18-711465-19,Dead Indian 19015,A,0.01,0.01,Human,Rancher-Farmer,Debris Burning,Other - Burning Related,Escaped illegal bun pile.,42.2843,-122.41718,POINT (-122.41718 42.2843),Small Woodlands,38S,3E,12.0,NENW,16.22 Mi NE of Ashland,Jackson,SW2,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,10/10/2018 08:55:00 AM,10/10/2018 08:58:00 AM,10/10/2018 08:58:00 AM,10/13/2018 02:00:00 PM,10/10/2018 12:00:00 AM,10/28/2018 02:18:00 PM,71,711,465
11399,119923,STAT,2020,EOA,Northeast Oregon,Wallowa,20-974004-21,Sopher,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,Fire caused by lightning,45.65028,-117.66528,POINT (-117.66528 45.65028),Small Woodlands,2N,41E,15.0,NESE,,Wallowa,NE2,Reg Use Closure,Does Not Apply - Eastern OR,08/05/2020 11:09:00 PM,08/06/2020 08:04:00 AM,08/06/2020 08:00:00 AM,08/11/2020 04:45:00 PM,08/06/2020 12:00:00 AM,09/03/2020 10:09:00 AM,97,974,004
11400,114243,STAT,2019,EOA,Klamath-Lake,Lakeview,19-982064-19,Fritz 154,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,42.46889,-120.97778,POINT (-120.97778 42.46889),Industrial,36S,15E,8.0,NWNW,"6 miles NE of Bly, OR",Klamath,KF1,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,06/13/2019 07:30:00 AM,06/13/2019 07:32:00 AM,06/13/2019 07:30:00 AM,06/14/2019 01:16:00 PM,06/13/2019 12:00:00 AM,09/14/2019 09:38:00 PM,98,982,064
11402,107078,STAT,2017,SOA,Southwest Oregon,Medford,17-711007-18,Kershaw 6900,B,1.0,1.0,Human,Recreationist,Recreation,Firearms - Ammunition,Tracer shells found at shooting platform,42.40992,-122.80512,POINT (-122.80512 42.40992),County,36S,1W,27.0,NWSE,Swaggerty Reservoir,Jackson,SW1,Reg Use Closure,Lvl 1 Fire Season Only,07/04/2017 02:30:00 PM,07/04/2017 02:37:00 PM,07/04/2017 02:35:00 PM,07/07/2017 02:00:00 PM,07/04/2017 12:00:00 AM,07/07/2017 03:41:00 PM,71,711,007
11404,125438,STAT,2021,SOA,Western Lane,Veneta,21-781028-22,Smigley,A,0.25,0.25,Human,Other-Public,Miscellaneous,Other - Miscellaneous Related,Bird shocked by powerline fell and caught grass on fire,43.99774,-123.36241,POINT (-123.36241 43.99774),Other Private,18S,6W,13.0,SESW,3.57 miles South of Veneta,Lane,WT1,Closed Fire Season Lvl 1,Lvl 2 Limited Shutdown,07/27/2021 10:23:00 AM,07/27/2021 10:23:00 AM,07/27/2021 10:23:00 AM,07/27/2021 10:40:00 AM,07/27/2021 12:00:00 AM,07/27/2021 01:30:00 PM,78,781,028
11407,117127,STAT,2019,SOA,Coos - CFPA,Gold Beach,19-723113-20,Myers Creek,B,2.89,2.89,Human,Other Forest Mgt. Worker,Debris Burning,Other - Burning Related,SOD Burn not adequately mopped up,42.3462,-124.413,POINT (-124.413 42.3462),Rural Residential,37S,14W,30.0,SWNW,4 S Gold Beach,Curry,CS4,Outside Closed Fire Season,Outside Closed Fire Season,10/27/2019 05:45:00 PM,10/27/2019 05:49:00 PM,10/27/2019 05:45:00 PM,10/27/2019 07:29:00 PM,10/28/2019 12:00:00 AM,11/20/2019 11:40:00 AM,72,723,113
11411,114349,STAT,2019,EOA,Central Oregon,The Dalles,19-954060-19,Reed Road,A,0.1,0.1,Human,Rancher-Farmer,Debris Burning,Inadequate Mop Up,Fire was caused by a burn pile that re-ignited,45.65083,-121.59028,POINT (-121.59028 45.65083),Agriculture,2N,10E,17.0,SESE,5 Miles SW of Hood River,Hood River,MH4,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,06/18/2019 05:00:00 PM,06/18/2019 05:05:00 PM,06/18/2019 05:00:00 PM,06/18/2019 06:30:00 PM,06/18/2019 12:00:00 AM,06/20/2019 12:25:00 PM,95,954,060
11412,118277,STAT,2020,SOA,Southwest Oregon,Grants Pass,20-712051-21,Steam Beer Mine,B,2.0,2.0,Human,Recreationist,Smoking,Discarded Cigarette/Tobacco,Discarded cigarette,42.64384,-123.45616,POINT (-123.45616 42.64384),Small Woodlands,34S,6W,6.0,SWNE,6.59 miles S of Glendale,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/14/2020 11:30:00 PM,07/15/2020 05:33:00 AM,07/15/2020 05:33:00 AM,07/20/2020 12:10:00 PM,07/16/2020 12:00:00 AM,08/06/2020 12:33:00 PM,71,712,051
11414,111044,STAT,2018,SOA,Southwest Oregon,Grants Pass,18-712144-19,Fish Hatchery 3084,A,0.01,0.01,Human,Ruralist-Paying,Recreation,Charcoal use or disposal,Improper disposal of charcoal,42.35458,-123.42166,POINT (-123.42166 42.35458),Other Private,37S,6W,16.0,SWNW,7.53 miles SW of GP,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/12/2018 08:27:00 PM,07/12/2018 08:29:00 PM,07/12/2018 08:28:00 PM,07/23/2018 02:46:00 PM,07/13/2018 12:00:00 AM,07/31/2018 11:54:00 AM,71,712,144
11415,117218,STAT,2019,EOA,Central Oregon,John Day,19-952116-20,Mile Post 25,B,0.5,0.5,Human,Public Utility,Equipment Use,"Powerlines - Power pole malfunction (transformer, fuse, etc.",,44.74167,-119.28361,POINT (-119.28361 44.74167),Other Private,9S,29E,31.0,SWSW,,Grant,EC2,Outside Closed Fire Season,Does Not Apply - Eastern OR,11/09/2019 12:00:00 AM,11/09/2019 12:46:00 PM,11/09/2019 12:00:00 AM,11/09/2019 03:45:00 PM,11/12/2019 12:00:00 AM,11/12/2019 04:40:00 PM,95,952,116
11417,110238,STAT,2018,SOA,South Cascade,Eastern Lane,18-771122-18,McKenzie Hwy MP 22,A,0.01,0.01,Human,Ruralist-Paying,Debris Burning,Inadequate clearing,Pile being burnt had no clearing around it,44.11927,-122.64039,POINT (-122.64039 44.11927),Rural Residential,17S,1E,1.0,NWSW,,Lane,EL1,Outside Closed Fire Season,Outside Closed Fire Season,06/06/2018 11:55:00 AM,06/06/2018 11:58:00 AM,06/06/2018 11:56:00 AM,06/06/2018 12:10:00 PM,06/06/2018 12:00:00 AM,06/06/2018 04:46:00 PM,77,771,122
11423,124126,STAT,2021,SOA,Southwest Oregon,Grants Pass,21-71200075-21,Lone Mountain Rd 1800,A,0.01,0.01,Human,Ruralist-Paying,Smoking,Discarded Cigarette/Tobacco,dropped cigarette and ignited dry fuels,42.06,-123.73475,POINT (-123.73475 42.06),Rural Residential,40S,9W,26.0,NWSW,8.38 miles Southwest of Cave J,Josephine,SW3,Reg Use Closure,Lvl 1 Fire Season Only,06/18/2021 02:20:00 PM,06/18/2021 02:30:00 PM,06/18/2021 02:25:00 PM,06/21/2021 11:38:00 AM,06/18/2021 12:00:00 AM,07/03/2021 04:57:00 PM,71,712,B75
11426,109713,STAT,2017,EOA,Northeast Oregon,Pendleton,17-973029-18,Hay Creek,C,79.0,79.0,Human,Hunter,Recreation,Warming Fire Unattended,"Middle of deer sesaon, late afternoon warming fire",45.79333,-118.3775,POINT (-118.3775 45.79333),Small Woodlands,4N,35E,25.0,SESE,Weston Mountain,Umatilla,NE1,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,10/06/2017 04:00:00 PM,10/06/2017 04:07:00 PM,10/06/2017 04:01:00 PM,10/06/2017 06:00:00 PM,10/07/2017 12:00:00 AM,10/25/2017 01:58:00 PM,97,973,029
11428,117287,STAT,2020,NOA,Forest Grove,Columbia City,20-532049-20,Nehalem Hwy N #2,A,0.25,0.25,Human,Ruralist-Paying,Debris Burning,Other - Burning Related,Wind blown embers.,45.9295,-123.15099,POINT (-123.15099 45.9295),Small Woodlands,5N,4W,11.0,NWSW,,Columbia,NW3,Outside Closed Fire Season,Outside Closed Fire Season,03/20/2020 04:03:00 PM,03/20/2020 04:05:00 PM,03/20/2020 04:04:00 PM,03/20/2020 04:52:00 PM,03/20/2020 12:00:00 AM,04/15/2020 09:20:00 AM,53,532,049
11431,112199,STAT,2018,SOA,Southwest Oregon,Grants Pass,18-712259-19,Upper Graves Creek,B,3.0,3.0,Lightning,Lightning,Lightning,Lightning,,42.70245,-123.14494,POINT (-123.14494 42.70245),BLM,33S,4W,14.0,NESW,14.36 miles East of Glendale,Jackson,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,07/15/2018 09:00:00 AM,07/15/2018 07:16:00 PM,07/15/2018 12:30:00 PM,12/31/2018 12:00:00 PM,08/16/2018 12:00:00 AM,08/16/2018 03:50:00 PM,71,712,259
11432,128061,STAT,2021,SOA,Coos - CFPA,Coos Bay,21-721148-22,Miner Creek,A,0.1,0.1,Human,Recreationist,Recreation,Campfire Not Extinguished,,43.3305,-124.3465,POINT (-124.3465 43.3305),Small Woodlands,26S,14W,10.0,SWNE,7 W Coos Bay,Coos,CS1,Reg Use Closure,Lvl 2 Limited Shutdown,09/16/2021 12:00:00 PM,09/16/2021 12:15:00 PM,09/16/2021 12:15:00 PM,09/16/2021 03:59:00 PM,09/21/2021 12:00:00 AM,10/18/2021 08:50:00 AM,72,721,148
11435,116353,STAT,2019,NOA,Forest Grove,Columbia City,19-532039-20,Shepard Rd. #1,A,0.01,0.01,Lightning,Lightning,Lightning,Lightning,,46.11764,-123.09969,POINT (-123.09969 46.11764),Industrial,7N,3W,6.0,NWSW,,Columbia,NW3,Reg Use Closure,Lvl 2 Limited Shutdown,08/29/2019 03:30:00 AM,08/29/2019 04:25:00 PM,08/29/2019 04:20:00 PM,08/29/2019 07:29:00 PM,08/29/2019 12:00:00 AM,09/01/2019 09:57:00 AM,53,532,039
11438,124290,STAT,2021,SOA,Southwest Oregon,Medford,21-711550-21,Garden Row 190,A,0.1,0.1,Human,Other-Landowner Related,Equipment Use,Burning Vehicle or Equipment,lawnmower backfire,42.42905,-123.04242,POINT (-123.04242 42.42905),Rural Residential,36S,3W,22.0,SWNE,0.71 miles Southeast of Gold H,Jackson,SW1,Reg Use Closure,Lvl 1 Fire Season Only,06/24/2021 06:49:00 PM,06/24/2021 06:49:00 PM,06/24/2021 06:49:00 PM,06/24/2021 08:04:00 PM,06/25/2021 12:00:00 AM,07/02/2021 05:39:00 PM,71,711,550
11439,106671,STAT,2017,SOA,Southwest Oregon,Grants Pass,17-712762-17,Hyde Park Rd 967,A,0.1,0.1,Human,Ruralist-Paying,Debris Burning,Inadequate Resources to Control,Escaped debris burn - inadequate resouces to control,42.30403,-123.28667,POINT (-123.28667 42.30403),Small Woodlands,37S,5W,34.0,SWSW,9.56 miles S of GP,Josephine,SW3,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,06/14/2017 12:30:00 PM,06/14/2017 01:04:00 PM,06/14/2017 01:00:00 PM,06/18/2017 11:42:00 AM,06/15/2017 12:00:00 AM,06/18/2017 12:32:00 PM,71,712,762
11440,122250,STAT,2020,SOA,Southwest Oregon,Grants Pass,20-712522-21,N School House #2,A,0.01,0.01,Human,Motorist,Smoking,Discarded Cigarette/Tobacco,Fed Ex driver admitted to discarding burning cigarette,42.54431,-123.36983,POINT (-123.36983 42.54431),BLM,35S,6W,11.0,SENE,7.57 miles N of GP,Josephine,SW3,Reg Use Closure,Lvl 4 Complete Shutdown,09/11/2020 12:29:00 PM,09/11/2020 12:33:00 PM,09/11/2020 12:33:00 PM,09/14/2020 12:30:00 PM,09/11/2020 12:00:00 AM,09/15/2020 07:08:00 PM,71,712,522
11442,108204,STAT,2017,EOA,Klamath-Lake,Lakeview,17-982068-18,Castle 483,A,,0.1,Under Invest,,Under Invest,,,42.04167,-120.755,POINT (-120.755 42.04167),Other Private,41S,17E,6.0,,3 mi SW of dog Lake,Lake,,,,,08/08/2017 12:53:00 PM,,,08/08/2017 12:00:00 AM,08/08/2017 02:11:00 PM,98,982,068
